					郑州商品交易所期货结算参数表(2019-01-14)
合约代码|当日结算价|是否单边市|连续单边市天数|买交易保证金率(%)|卖交易保证金率(%)|交易手续费|交割手续费|平今仓手续费
AP901   |10,393.00 |N         |0             |20.00            |20.00            |20.00     |10.00     |20.00     
AP903   |10,758.00 |N         |0             |11.00            |11.00            |20.00     |10.00     |20.00     
AP905   |10,655.00 |N         |0             |11.00            |11.00            |20.00     |10.00     |20.00     
AP907   |10,638.00 |N         |0             |20.00            |20.00            |20.00     |10.00     |20.00     
AP910   |7,914.00  |N         |0             |8.00             |8.00             |5.00      |10.00     |5.00      
AP911   |7,804.00  |N         |0             |8.00             |8.00             |5.00      |10.00     |5.00      
AP912   |7,839.00  |N         |0             |8.00             |8.00             |5.00      |10.00     |5.00      
CF901   |14,555.00 |N         |0             |20.00            |20.00            |4.30      |20.00     |10.00     
CF903   |14,485.00 |N         |0             |7.00             |7.00             |4.30      |20.00     |0.00      
CF905   |15,150.00 |N         |0             |7.00             |7.00             |4.30      |20.00     |0.00      
CF907   |15,325.00 |N         |0             |7.00             |7.00             |4.30      |20.00     |0.00      
CF909   |15,540.00 |N         |0             |7.00             |7.00             |4.30      |20.00     |0.00      
CF911   |15,630.00 |N         |0             |7.00             |7.00             |4.30      |20.00     |0.00      
CY901   |21,835.00 |N         |0             |20.00            |20.00            |4.00      |10.00     |0.00      
CY902   |21,800.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY903   |22,055.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY904   |21,385.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY905   |24,290.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY906   |24,570.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY907   |23,555.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY908   |23,285.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY909   |24,600.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY910   |24,390.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY911   |24,945.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
CY912   |24,745.00 |N         |0             |5.00             |5.00             |4.00      |10.00     |0.00      
FG901   |1,360.00  |N         |0             |20.00            |20.00            |3.00      |10.00     |6.00      
FG902   |1,320.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG903   |1,309.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG904   |1,317.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG905   |1,319.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG906   |1,313.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG907   |1,302.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG908   |1,313.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG909   |1,306.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG910   |1,298.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG911   |1,301.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
FG912   |1,313.00  |N         |0             |7.00             |7.00             |3.00      |10.00     |6.00      
JR901   |2,787.00  |N         |0             |20.00            |20.00            |3.00      |10.00     |3.00      
JR903   |2,910.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
JR905   |3,010.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
JR907   |2,863.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
JR909   |2,919.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
JR911   |2,919.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
LR901   |2,642.00  |N         |0             |20.00            |20.00            |3.00      |10.00     |3.00      
LR903   |2,650.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
LR905   |2,654.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
LR907   |2,726.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
LR909   |2,681.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
LR911   |2,658.00  |N         |0             |5.00             |5.00             |3.00      |10.00     |3.00      
MA901   |2,420.00  |N         |0             |20.00            |20.00            |4.00      |5.00      |8.00      
MA902   |2,573.00  |N         |0             |7.00             |7.00             |2.00      |5.00      |6.00      
MA903   |2,547.00  |N         |0             |7.00             |7.00             |0.50      |5.00      |0.50      
MA904   |2,533.00  |N         |0             |7.00             |7.00             |2.00      |5.00      |6.00      
